image_path,site_id,task_label,v1_label,v2_label,split,is_valid
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/March log/20250423_012641270_iOS 1.heic,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/March log/20250423_012620158_iOS 1.heic,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/March log/20250423_012607827_iOS 1.heic,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Phase 2 roof 6/20250421_215826969_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Phase 2 roof 6/20250421_215822376_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Phase 2 roof 6/20250421_215856900_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Phase 2 roof 6/20250421_215814624_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Phase 2 roof 6/20250421_215843322_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Phase 2 roof 6/20250421_215818681_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Vacant unit cleaning 11/20250314_034632697_iOS.jpg,WAIPIO,Vacant Unit,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Vacant unit cleaning 11/20250314_034730915_iOS.jpg,WAIPIO,Vacant Unit,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Vacant unit cleaning 11/20250314_034720554_iOS.jpg,WAIPIO,Vacant Unit,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Vacant unit cleaning 11/20250314_034711866_iOS.jpg,WAIPIO,Vacant Unit,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Vacant unit cleaning 11/20250314_034545695_iOS.jpg,WAIPIO,Vacant Unit,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Vacant unit cleaning 11/20250314_034650331_iOS.jpg,WAIPIO,Vacant Unit,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Vacant unit cleaning 11/20250314_034640544_iOS.jpg,WAIPIO,Vacant Unit,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Vacant unit cleaning 11/20250314_034617680_iOS.jpg,WAIPIO,Vacant Unit,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Vacant unit cleaning 11/20250314_034659269_iOS.jpg,WAIPIO,Vacant Unit,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Vacant unit cleaning 11/20250314_034626935_iOS.jpg,WAIPIO,Vacant Unit,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Vacant unit cleaning 11/20250314_034705344_iOS.jpg,WAIPIO,Vacant Unit,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Stairs 5/20250312_182105845_iOS.jpg,WAIPIO,General Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Stairs 5/20250318_043727856_iOS.heic,WAIPIO,General Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Stairs 5/20250312_182101245_iOS.jpg,WAIPIO,General Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Stairs 5/20250318_043737725_iOS.heic,WAIPIO,General Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Stairs 5/20250312_182109651_iOS.jpg,WAIPIO,General Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Office building 5/20250424_053646423_iOS.jpg,WAIPIO,General Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Office building 5/20250424_053600558_iOS.jpg,WAIPIO,General Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Office building 5/20250424_053610168_iOS.jpg,WAIPIO,General Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Office building 5/20250424_053633875_iOS.jpg,WAIPIO,General Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Office building 5/20250424_053622708_iOS.jpg,WAIPIO,General Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Medical building 5/20250421_223012931_iOS.jpg,WAIPIO,General Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Medical building 5/20250421_223035273_iOS.jpg,WAIPIO,General Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Medical building 5/20250421_223028638_iOS.jpg,WAIPIO,General Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Medical building 5/20250421_223020369_iOS.jpg,WAIPIO,General Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Medical building 5/20250421_223041027_iOS.jpg,WAIPIO,General Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Phase 1roof 6/20250424_222651642_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Phase 1roof 6/20250424_222704937_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Phase 1roof 6/20250424_222647277_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Phase 1roof 6/20250424_222657387_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Phase 1roof 6/20250424_222638371_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Phase 1roof 6/20250424_222713149_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Building lights 6/20250314_051237411_iOS.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Building lights 6/20250314_051426666_iOS.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Building lights 6/20250314_051339901_iOS.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Building lights 6/20250314_051346466_iOS.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Building lights 6/20250314_051656732_iOS.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Building lights 6/20250314_051415721_iOS.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/8.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/9.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/14.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/15.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/16.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/12.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/13.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/11.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/10.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/4.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/5.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/7.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/6.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/2.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/3.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center March/Waipio shopping center/ok Graffiti 16/1.jpg,WAIPIO,Graffiti/Stickers,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_173043714_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_173012146_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_173043560_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_173043682_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_173012070_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_173043650_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_173043526_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_172909710_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_173011926_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_173043619_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_173043490_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_172912268_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_173011831_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_173043430_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_173012114_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_173043590_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Gutters/20250729_173012188_iOS.jpg,WAIPIO,Gutters,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking lot/20250730_175529454_iOS.jpg,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking lot/20250730_175528216_iOS.jpg,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking lot/20250618_221223481_iOS.jpg,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking lot/20250730_175533724_iOS.jpg,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking lot/20250730_175529984_iOS.jpg,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking lot/20250618_221141571_iOS.jpg,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking lot/20250618_221208450_iOS.jpg,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking lot/20250730_175528834_iOS.jpg,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking lot/20250730_175534255_iOS.jpg,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking lot/20250730_175531579_iOS.jpg,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking lot/20250730_175530576_iOS.jpg,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking lot/20250619_171019117_iOS.jpg,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking lot/20250619_171023310_iOS.jpg,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking lot/20250730_175531076_iOS 1.jpg,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking lot/20250730_175531076_iOS.jpg,WAIPIO,General Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Phase1 roof/20250729_214727205_iOS.jpg,WAIPIO,Roof Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Phase1 roof/20250722_232148542_iOS.jpg,WAIPIO,Roof Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Phase 1 roof/20250626_215305978_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Phase 1 roof/20250626_215305402_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Phase 1 roof/20250626_215306959_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Phase 1 roof/20250626_215304336_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Phase 1 roof/20250626_215320680_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Phase 1 roof/20250602_192024812_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Phase 1 roof/20250626_215306461_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking light/20250727_075115548_iOS.heic,WAIPIO,Lighting,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking light/20250727_075030053_iOS.heic,WAIPIO,Lighting,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking light/20250727_075251313_iOS.heic,WAIPIO,Lighting,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking light/20250727_075002435_iOS.heic,WAIPIO,Lighting,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking light/20250727_075130965_iOS.heic,WAIPIO,Lighting,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking light/20250727_075120305_iOS.heic,WAIPIO,Lighting,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Parking light/20250727_075129753_iOS.heic,WAIPIO,Lighting,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_164720983_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_165516775_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_164850406_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_182403118_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_182359249_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_164902465_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_165509292_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_182413356_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_164847148_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_164858118_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_182407525_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_165500896_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_182418071_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_164854121_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_165512968_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_164703544_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_164712500_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_164905955_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_164716656_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_164659873_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_164656209_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_164707549_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Pressure wash medical building/20250506_165504692_iOS.jpg,WAIPIO,Pressure Washing,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/Medical building roof/20250722_214853384_iOS.jpg,WAIPIO,Roof Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Medical building roof/20250722_214852691_iOS.jpg,WAIPIO,Roof Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Medical building roof/20250722_214854797_iOS.jpg,WAIPIO,Roof Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Medical building roof/20250722_214851725_iOS.jpg,WAIPIO,Roof Cleaning,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Office roof/20250701_103335000_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Office roof/20250701_114821738_iOS.heic,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Office roof/20250701_103407000_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Office roof/20250701_103342000_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Office roof/20250701_103347000_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Office roof/20250701_103325000_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Office roof/20250701_103312000_iOS.jpg,WAIPIO,Roof Cleaning,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Building lights/20250614_053953307_iOS.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Building lights/20250614_054110813_iOS.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Building lights/20250614_054256615_iOS.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Building lights/20250614_054159240_iOS.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/DONE Building lights/20250614_053907487_iOS.heic,WAIPIO,Lighting,Other,After,train,True
data/original/WAIPIO/Waipio Shopping Center May/Pressure wash/20250728_154433224_iOS.jpg,WAIPIO,Pressure Washing,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Pressure wash/20250728_154432864_iOS.jpg,WAIPIO,Pressure Washing,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Pressure wash/20250728_154433270_iOS.jpg,WAIPIO,Pressure Washing,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Pressure wash/20250728_154512714_iOS.jpg,WAIPIO,Pressure Washing,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Pressure wash/20250728_154512473_iOS.jpg,WAIPIO,Pressure Washing,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Pressure wash/20250728_154512751_iOS.jpg,WAIPIO,Pressure Washing,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Pressure wash/20250728_154512791_iOS.jpg,WAIPIO,Pressure Washing,Other,Unlabeled,train,True
data/original/WAIPIO/Waipio Shopping Center May/Pressure wash/20250728_154512862_iOS.jpg,WAIPIO,Pressure Washing,Other,Unlabeled,train,True
